,id,colour,vehicle,nums
429,511731,შავი,MITSUBISHI PAJERO IO,
430,511609,ყვითელი,FORD TRANSIT 190 LTD,5/8
431,511609,წითელი,OPEL ASTRA G CARAVAN,5/8
432,512021,შავი,BMW 335 I,
433,512021,მწვანე,OPEL ASTRA,6/8
434,511747,ლურჯი,OPEL ASTRA G,8/8
435,511747,, VOLOVO,
436,511747,, ჰონდა,
437,512090,რუხი,LEXUS RX 300,6/8
438,512090,თეთრი,MERCEDES-BENZ CLS 500,
439,512119,რუხი,HONDA CIVIC,1/8
440,512119,რუხი,VOLKSWAGEN PASSAT,1/8
441,512017,ლურჯი,BMW 330 I,8/8
442,512017,რუხი,MERCEDES-BENZ ML 350,1/8
443,512370,შავი,NISSAN TIIDA,
444,511735,რუხი,SCION TC,7/8
445,512350,რუხი,MITSUBISHI PAJERO IO,1/8
446,512712,წითელი,BMW 320 D,5/8
447,511695,შავი,MITSUBISHI LANCER CEDIA,
448,511695,თეთრი,SCANIA CR-19,
449,512354,ყავისფერი,MERCEDES-BENZ 230 CE,6/8
450,512354,თეთრი,SUBARU FORESTER,
451,512354,შავი,VOLKSWAGEN TOUAREG,
452,511608,რუხი,BMW 318 I,1/8
453,511745,თეთრი,FORD TRANSIT 190 LTD,
454,512687,თეთრი,FORD TRANSIT,
455,512200,თეთრი,FORD TRANSIT 190 LD,
456,512145,თეთრი,TOYOTA VITZ,
457,512277,რუხი,TOYOTA PRIUS,1/8
458,512277,შავი,TOYOTA PRIUS,
459,512355,,ტოიოტა,
460,512393,ყვითელი,BOGDAN 1445,5/8
461,512143,რუხი,MERCEDES-BENZ E 200,1/8
462,512362,რუხი,KIA OPTIMA HYBRID,3/8
463,512401,წითელი,MERCEDES-BENZ CLK 230,6/8
464,511980,თეთრი,MITSUBISHI PAJERO,
465,511980,მწვანე,VOLKSWAGEN GOLF III 2.8,8/8
466,512379,რუხი,MERCEDES-BENZ C 180,1/8
467,511748,ლურჯი,NISSAN TIIDA,8/8
468,512386,რუხი,TOYOTA VITZ,4/8
469,512087,შავი,CHRYSLER 300 C,
470,512087,წითელი,HONDA CBR 600,4/8
471,513222,ლურჯი,RENAULT PREMIUM 450DXI,4/8
472,512320,რუხი,MERCEDES-BENZ C 180,7/8
473,512320,რუხი,MERCEDES-BENZ E 240,1/8
474,521934,შავი,MERCEDES-BENZ A 170,
475,512763,წითელი,MERCEDES-BENZ C 300,6/8
476,512158,თეთრი,MERCEDES-BENZ VITO 111 CDI,
477,512158,, სკანია,
478,512507,ლურჯი,HYUNDAI TUCSON,2/8
479,512507,მწვანე,OPEL VECTRA,7/8
480,512507,ლურჯი,VOLVO FH 400,6/8
481,512813,რუხი,SKODA OCTAVIA,7/8
482,512813,ლურჯი,TOYOTA CAMRY,7/8
483,513474,შავი,MITSUBISHI PAJERO,
484,513474,რუხი,OPEL VECTRA,1/8
485,512508,ლურჯი,MERCEDES-BENZ E 200,8/8
486,512547,რუხი,TOYOTA RAV4,1/8
487,512798,რუხი,HONDA FIT,2/8
488,512798,, მანი,
489,512798,," მისაბმელი ""ტრაილერ""",
490,512857,წითელი,MERCEDES-BENZ 2631,5/8
491,512979,თეთრი,MAZDA 6,
492,513821,რუხი,BMW 528 I,1/8
493,512988,თეთრი,MERCEDES-BENZ VITO 110 CDI,
494,512958,რუხი,OPEL VECTRA B,2/8
495,512889,რუხი,SUBARU LEGACY B4,2/8
496,512998,წითელი,TOYOTA PRIUS,7/8
497,512982,შავი,HONDA ODYSSEY,
498,512991,შავი,MERCEDES-BENZ C 240,
499,512752,ლურჯი,HONDA CR-V 2.0I 16V 4WD,8/8
500,512752,თეთრი,MAZ 555102,
